,,,,,tRun,pBrakeTotal,rPedal,vCar
27.69889259,0,100,53.73923084,,,,,
27.7658596,0,100,53.56560237,,,,,
27.83267975,0,100,53.80327078,,,,,
27.89887047,0,100,53.80327078,,,,,
27.96306801,0,100,54.82434274,,,,,
28.02457237,0,100,57.17630428,,,,,
28.08360481,0,100,59.72837476,,,,,
28.1405201,0,100,62.07573922,,,,,
28.19560051,0,100,64.25355043,,,,,
28.24907112,0,100,66.28592338,,,,,
28.30111694,0,100,68.18602104,,,,,
28.35188866,0,100,69.96682788,,,,,
28.40151596,0,100,71.6465949,,,,,
28.45009613,0,100,73.24150635,,,,,
28.49772072,0,100,74.7622052,,,,,
28.54446411,0,100,76.21610037,,,,,
28.59039307,0,100,77.6081769,,,,,
28.63556671,0,100,78.94252718,,,,,
28.68003845,0,100,80.22395773,,,,,
28.72385406,0,100,81.45678069,,,,,
28.76705551,0,100,82.64412715,,,,,
28.80968094,0,100,83.7887849,,,,,
28.85176468,0,100,84.89386443,,,,,
28.89333534,0,100,85.96212605,,,,,
28.93442154,0,100,86.99740812,,,,,
28.97504425,0,100,88.0060827,,,,,
29.01522446,0,100,88.99250998,,,,,
29.05497932,0,100,89.9577474,,,,,
29.09432793,0,100,90.90277686,,,,,
29.13328552,0,100,91.82849099,,,,,
29.17186928,0,100,92.73523999,,,,,
29.21009254,0,100,93.6217055,,,,,
29.24797249,0,100,94.48720087,,,,,
29.28562927,0,100,95.33270114,,,,,
29.3235569,0.184095605,0,95.60146084,,,,,
29.36226273,0.687474922,0,93.97418095,,,,,
29.40190315,0.788844375,0,91.78907757,,,,,
29.44252396,0.772703047,0,89.5991608,,,,,
29.48417282,0.754592969,0,87.41120098,,,,,
29.52689934,0.735384688,0,85.2280202,,,,,
29.57075882,0.715461563,0,83.05269464,,,,,
29.61580658,0.695690859,0,80.88647399,,,,,
29.66210938,0.6795,0,78.72792316,,,,,
29.70976257,0.674479219,0,76.55788477,,,,,
29.7589035,0.682868906,0,74.32658391,,,,,
29.80970001,0.695703203,0,71.99352914,,,,,
29.8623333,0.700321953,0,69.55561681,,,,,
29.91697693,0.688737188,0,67.05030342,,,,,
29.97377777,0.661536172,0,64.53354365,,,,,
30.03286934,0.625388789,0,62.05180964,,,,,
30.09438324,0.587471836,0,59.62688177,,,,,
30.15851212,0.561750742,0,57.26036336,,,,,
30.22563934,0.568174023,0,54.8624893,,,,,
30.296381,0.594960039,0,52.2495752,,,,,
30.37137032,0.595706953,0,49.39021394,,,,,
30.45081139,0.526178945,0,46.49367428,,,,,
30.53393936,0.369891172,0,44.01482075,,,,,
30.61812592,0.084191699,0,42.48109967,,,,,
30.70187378,0,100,42.92765922,,,,,
30.7869606,0.105337441,0,42.92765922,,,,,
30.87692642,0.388910195,0,41.57594712,,,,,
30.97385979,0.470806172,0,38.34589027,,,,,
31.07577324,0.275969043,0,35.83040079,,,,,
31.17853165,0.032368516,0,34.72194984,,,,,
31.28051949,0,100,35.24913867,,,,,
31.38184738,0,100,35.25129817,,,,,
31.48438644,0.050267617,0,35.70826382,,,,,
31.59243011,0.252518301,0,34.41363252,,,,,
31.70297432,0.099901865,0,32.13556771,,,,,
31.81222153,0,100,32.90774803,,,,,
31.91958809,0,100,32.90774803,,,,,
32.02076721,0,100,34.06155532,,,,,
32.11661148,0,100,37.00202309,,,,,
32.21063995,0,100,38.01710406,,,,,
32.30413437,0,100,38.4512525,,,,,
32.39584351,0,100,38.45324377,,,,,
32.48201752,0,100,39.95046624,,,,,
32.56113434,0,100,43.48528015,,,,,
