vCar,NGear,gLong,gLat,sRun,tRun,aSteerNeutral,xCar,yCar,gSum,rPedal
46.83262969385624,1,14.1225671768,-5.4478983879,88.9268112183,7.2822623253,-2.548977503766982,-88.3176651001,33.1874771118,15.1369247437,100
50.59489131716694,1,13.6458978653,-3.5550291538,89.9259872437,7.3511400223,-1.4536915754439226,-87.3173904419,33.199432373,14.1013746262,100
53.85271952170438,1,12.7604522705,-2.7998394966,90.9251708984,7.4161829948,-1.0236381003518553,-86.3168640137,33.1976928711,13.0640058517,100
56.75209159184672,1,12.0755462646,-2.7261333466,91.9243469238,7.4781317711,-0.9057592819197969,-85.3168029785,33.1846542358,12.3794441223,100
59.37673014745587,1,11.5109624863,-2.5964272022,92.9235229492,7.5375089645,-0.7936098179855064,-84.3173370361,33.1611824036,11.8001565933,100
61.782171033343175,1,11.0313081741,-2.3392164707,93.9226989746,7.5947003365,-0.6640340317883845,-83.3185348511,33.1285858154,11.2765989304,100
64.00771780630575,1,10.6156616211,-2.1715240479,94.921875,7.650001049,-0.5768561140252241,-82.3204193115,33.0885505676,10.8354873657,100
66.08251854502515,1,10.2324476242,-2.2761290073,95.9210586548,7.703646183,-0.5693366617585508,-81.3226623535,33.0423316956,10.482544899,100
68.02206396006883,1,9.8534402847,-2.5553848743,96.9202346802,7.7558302879,-0.605207853356618,-80.3251724243,32.9897003174,10.1794042587,100
69.83752576445937,1,9.4932508469,-2.8720495701,97.9194107056,7.8067140579,-0.6470751514131324,-79.3280181885,32.9301872253,9.9181900024,100
71.54526670794664,1,9.1802310944,-3.2079548836,98.918586731,7.8564281464,-0.6902636156607052,-78.3312835693,32.8633270264,9.7245883942,100
73.16277563737948,1,8.917175293,-3.5657675266,99.9177703857,7.9050807953,-0.7351132507141228,-77.3350524902,32.7886276245,9.603682518,100
74.70349019432783,1,8.685336113,-3.9478263855,100.9169464111,7.9527621269,-0.7819681349180951,-76.3394470215,32.7055854797,9.5404615402,100
76.175244998524,1,8.4690103531,-4.3567709923,101.9161224365,7.9995498657,-0.8311833817844665,-75.3445663452,32.6136741638,9.5239477158,100
77.58403445989242,1,8.261590004,-4.7950878143,102.9152984619,8.0455131531,-0.8830696604889124,-74.3505630493,32.512348175,9.552315712,100
78.93412264362188,1,5.0272488594,-5.1516795158,103.9144744873,8.0909938812,-0.917789275673702,-73.3575820923,32.4010238647,7.1981267929,100
79.24443809984952,1,-5.9761743546,-4.7826781273,104.9136581421,8.137052536,-0.8655197053930475,-72.365814209,32.279094696,7.6543235779,0
76.94833855740914,1,-13.8246898651,-3.5822775364,105.9128341675,8.1845264435,-0.6876332982035526,-71.3753585815,32.1468353271,14.2812738419,0
74.58954146368683,1,-13.7323474884,-2.1744673252,106.9120101929,8.233543396,-0.4442222687289945,-70.3859863281,32.006729126,13.9034414291,0
72.17858681897053,1,-13.5595188141,-0.876942873,107.9111862183,8.2842407227,-0.19131950582874024,-69.3973312378,31.8616104126,13.587846756,0
69.72268439509247,1,-13.3306646347,0.2722641528,108.9103622437,8.336771965,0.06365643036868149,-68.4090042114,31.7143325806,13.3334445953,0
67.2254116128707,1,-13.0512313843,1.275010705,109.9095458984,8.3913059235,0.32065355540251855,-67.4205627441,31.5677661896,13.1133623123,0
64.69338772904982,1,-12.7079362869,2.1343662739,110.9087219238,8.4480285645,0.5795902686235884,-66.431602478,31.4248065948,12.8859291077,0
62.13709781228174,1,-12.3280172348,2.8547022343,111.9078979492,8.5071458817,0.8402475798330139,-65.4417266846,31.2883777618,12.6542215347,0
59.55398067701545,1,-11.9532489777,3.4399027824,112.9070739746,8.5689020157,1.102157101762854,-64.450592041,31.1614303589,12.4383716583,0
56.93745139823888,1,-11.5679702759,3.8938875198,113.9062576294,8.6335802078,1.364805200668085,-63.4579658508,31.0469398499,12.205748558,0
54.29076467286826,1,-11.0623826981,4.480758667,114.9054336548,8.7014799118,1.7271319016486602,-62.4636955261,30.9479026794,11.9353885651,0
51.66112734161812,1,-10.2049837112,5.9572367668,115.9046096802,8.7728185654,2.5350119038825203,-61.4677886963,30.8673324585,11.816529274,0
49.18228067665545,1,-8.8262329102,8.5004310608,116.9037857056,8.8475933075,3.9870588956487674,-60.4700279236,30.8127555847,12.2539672852,0
47.0286839958528,1,-6.8416457176,11.3117733002,117.902961731,8.9253959656,5.7920482272607,-59.4707984924,30.8030204773,13.2198457718,0
45.43696888414489,1,-2.0624775887,13.9147024155,118.9021453857,9.0041780472,7.612247537144451,-58.4733009338,30.8593578339,14.0667247772,0
45.87882148190281,1,0.7819372416,17.8623123169,119.9013214111,9.0825796127,8.783068319334971,-57.485042572,31.0027961731,17.8794193268,100
45.88050032867973,1,1.9757786989,15.9682359695,120.9004974365,9.1600503922,7.864243095860629,-56.5185623169,31.2511940002,16.0900039673,100
46.98091410586871,1,-3.229316473,8.842171669,121.8996734619,9.2391052246,4.522125668255082,-55.581703186,31.595495224,9.4134206772,0
44.019888184809446,1,-10.0453109741,0.3503452837,122.8988494873,9.3236503601,0.20546349612271614,-54.6631202698,31.9880084991,10.0514192581,0
41.07172312422149,1,-8.3667678833,-6.3943586349,123.8980331421,9.4137363434,-4.299449975656731,-53.7448348999,32.3831634521,10.530462265,0
38.78626657834673,1,-5.1598935127,-11.7542152405,124.8972091675,9.5078210831,-8.80812145469613,-52.8085021973,32.7345695496,12.8369026184,0
37.67781905514475,1,-1.3583236933,-15.0824022293,125.8963851929,9.6030483246,-11.89659809819509,-51.84116745,32.9863586426,15.1434440613,0
