vCar,gLong,gLat,sRun,tRun,IDraw,RInternal,rSoc,ECapacity,QCellDischarge,VCell,VBattery,xCar,yCar
96.23186957822433,0,-7.8451972008,214.9281616211,10.5006494522,144.83203125,0.1388362795,0.975609839,7248.0209960938,0,0,552.3580932617,-9377289,5171075.5
96.23186957822433,0,-10.9720249176,219.9264984131,10.6876354218,144.8335876465,0.138853237,0.9750301838,7243.71484375,0,0,552.3521728516,-9377291,5171071
96.23186957822433,0,-9.1310882568,224.9248199463,10.8746204376,144.8351287842,0.1388701946,0.9744505286,7239.408203125,0,0,552.3462524414,-9377293,5171066.5
96.23186957822433,0,-3.6174457073,229.9231567383,11.0616064072,144.8366851807,0.1388871521,0.9738708138,7235.1015625,0,0,552.3403320312,-9377295,5171062
96.23186957822433,0,2.8371098042,234.9214782715,11.248591423,144.8382415771,0.1389041096,0.9732911587,7230.7954101562,0,0,552.3344116211,-9377298,5171057.5
96.23186957822433,0,8.0871515274,239.9198150635,11.4355773926,144.8397979736,0.1389210671,0.9727115035,7226.4887695312,0,0,552.3284912109,-9377300,5171053.5
96.23186957822433,0,11.4362134933,244.9181365967,11.6225633621,144.8413391113,0.1389380246,0.9721317887,7222.1821289062,0,0,552.3225708008,-9377302,5171049
96.23186957822433,0,13.2431411743,249.9164733887,11.809548378,144.8428955078,0.1389549822,0.9715521336,7217.8754882812,0,0,552.3166503906,-9377304,5171044
96.23186957822433,0,14.0064754486,254.9147949219,11.9965343475,144.8444519043,0.1389719397,0.9709724188,7213.5688476562,0,0,552.3107299805,-9377306,5171039.5
96.23186957822433,0,13.9183998108,259.9131164551,12.1835193634,144.8460083008,0.1389889121,0.970392704,7209.2622070312,0,0,552.3048095703,-9377306,5171034.5
96.23186957822433,0,12.9240179062,264.9114685059,12.3705053329,144.8475494385,0.1390058696,0.9698130488,7204.9555664062,0,0,552.2988891602,-9377307,5171029.5
96.23186957822433,0,10.9720640182,269.9097900391,12.5574913025,144.849105835,0.1390228271,0.9692333341,7200.6489257812,0,0,552.29296875,-9377307,5171024.5
96.23186957822433,0,8.2009477615,274.9081115723,12.7444763184,144.8506622314,0.1390397847,0.9686536193,7196.3422851562,0,0,552.2870483398,-9377306,5171019.5
96.23186957822433,0,4.8978042603,279.9064331055,12.9314622879,144.8522186279,0.1390567422,0.9680739641,7192.03515625,0,0,552.2811279297,-9377306,5171014.5
96.23186957822433,0,1.3519488573,284.9047851562,13.1184473038,144.8537597656,0.1390736997,0.9674942493,7187.728515625,0,0,552.2752075195,-9377305,5171009.5
96.23186957822433,0,-2.2397806644,289.9031066895,13.3054332733,144.8553161621,0.1390906721,0.9669145346,7183.421875,0,0,552.2692871094,-9377304,5171005
96.23186957822433,0,-5.7853684425,294.9014282227,13.4924192429,144.8568725586,0.1391076297,0.9663348198,7179.1147460938,0,0,552.2633666992,-9377303,5171000
96.23186957822433,0,-9.2614202499,299.8997497559,13.6794042587,144.8584289551,0.1391245872,0.965755105,7174.8081054688,0,0,552.2574462891,-9377302,5170995
96.23186957822433,0,-12.6076984406,304.8981018066,13.8663902283,144.8599700928,0.1391415447,0.9651753902,7170.5014648438,0,0,552.2515258789,-9377302,5170990
96.23186957822433,0,-15.5106201172,309.8964233398,14.0533752441,144.8615264893,0.1391585022,0.9645956755,7166.1943359375,0,0,552.2456054688,-9377302,5170985
96.23186957822433,0,-17.232831955,314.894744873,14.2403612137,144.8630828857,0.1391754597,0.9640159607,7161.8876953125,0,0,552.2396850586,-9377302,5170980
96.23186957822433,0,-16.8010520935,319.8930969238,14.4273462296,144.8646392822,0.1391924322,0.9634361863,7157.5805664062,0,0,552.2337646484,-9377304,5170975
96.23186957822433,0,-13.7337026596,324.891418457,14.6143321991,144.8661804199,0.1392093897,0.9628564715,7153.2739257812,0,0,552.2278442383,-9377306,5170970.5
96.23186957822433,0,-8.6846761703,329.8897399902,14.8013181686,144.8677368164,0.1392263472,0.9622767568,7148.966796875,0,0,552.2219238281,-9377308,5170966
96.23186957822433,0,-3.0587468147,334.8880615234,14.9883031845,144.8692932129,0.1392433047,0.961697042,7144.6596679688,0,0,552.216003418,-9377310,5170961.5
96.23186957822433,0,1.8002810478,339.8864135742,15.1752891541,144.8708496094,0.1392602772,0.9611172676,7140.3525390625,0,0,552.2100830078,-9377313,5170957.5
96.23186957822433,0,4.9817128181,344.8847351074,15.3622741699,144.8724060059,0.1392772347,0.9605375528,7136.0458984375,0,0,552.2041625977,-9377316,5170953
96.23186957822433,0,6.2593898773,349.8830566406,15.5492601395,144.8739471436,0.1392941922,0.9599577785,7131.7387695312,0,0,552.1982421875,-9377318,5170949
96.23186957822433,0,6.1296834946,354.8813781738,15.736246109,144.87550354,0.1393111497,0.9593780637,7127.431640625,0,0,552.1923217773,-9377320,5170944.5
96.23186957822433,0,5.468943119,359.8797302246,15.9232311249,144.8770599365,0.1393281072,0.9587982893,7123.1245117188,0,0,552.1864013672,-9377322,5170939.5
96.23186957822433,0,5.1794676781,364.8780517578,16.1102161407,144.878616333,0.1393450797,0.9582185745,7118.8173828125,0,0,552.180480957,-9377324,5170935
96.23186957822433,0,5.6093220711,369.876373291,16.297203064,144.8801727295,0.1393620372,0.9576388001,7114.5102539062,0,0,552.1745605469,-9377326,5170930.5
96.23186957822433,0,5.8711462021,374.8746948242,16.4841880798,144.8817138672,0.1393789947,0.9570590258,7110.203125,0,0,552.1686401367,-9377327,5170925.5
96.23186957822433,0,4.0239443779,379.873046875,16.6711730957,144.8832702637,0.1393959671,0.9564792514,7105.8959960938,0,0,552.1627197266,-9377328,5170921
96.23186957822433,0,-1.9168604612,384.8713684082,16.8581600189,144.8848266602,0.1394129246,0.9558995366,7101.5888671875,0,0,552.1567993164,-9377329,5170916
96.23186957822433,-3.0449225903,-11.3501424789,389.8696899414,17.0493068695,0,0.1394298822,0.9558995366,7101.5888671875,0,0,590.2156982422,-9377331,5170911
92.04125479699616,-9.9315786362,-15.8331356049,394.8680114746,17.2563533783,0,0.1394298822,0.9558995366,7101.5888671875,0,0,590.2156982422,-9377332,5170906
81.77512302594157,-12.7982053757,-6.1306214333,399.8663635254,17.4906845093,0,0.1394298822,0.9558995366,7101.5888671875,0,0,590.2156982422,-9377334,5170902
