a0,a1,a2,a3,a4,p1,p2,p3,p4,v_final,maxSlip
32.5,334.375,-814.062499999999,836.999999999999,-304.3125,32.5,80.75,81.5,85.5,7.9871148893238,0.470451801653218
32.5,364.75,-950.749999999999,1019.25,-380.249999999999,32.5,81.5,80,85.5,7.98663640845814,0.472611687135011
30,374.125,-953.749999999999,1009.125,-373.499999999999,30,81.5,80.75,86,7.98605402390563,0.439020139100586
30,343.75,-817.062499999999,826.874999999998,-297.562499999999,30,80.75,82.25,86,7.98589698054764,0.43685964241763
30,357.5,-868.374999999999,884.249999999999,-318.375,30,81.5,81.5,85,7.98401877428806,0.437842051655552
33.75,306,-709.874999999999,708.749999999999,-253.125,33.75,80,82.25,85.5,7.98383745453282,0.485561505979116
33.75,336.375,-846.562499999999,890.999999999999,-329.0625,33.75,80.75,80.75,85.5,7.98337157945987,0.487721312524346
31.25,376.125,-986.249999999999,1063.125,-398.249999999999,31.25,81.5,80,86,7.98246339294732,0.45629073061372
31.25,345.75,-849.562499999999,880.874999999999,-322.312499999999,31.25,80.75,81.5,86,7.98245887965755,0.454130616970718
31.25,315.375,-712.874999999999,698.624999999999,-246.374999999999,31.25,80,83,86,7.98182015736873,0.451970472912541
32.5,351,-899.437499999998,961.874999999998,-359.437499999999,32.5,80.75,80.75,86.5,7.9811478393504,0.471629562877986
32.5,364.375,-952.249999999999,1029.375,-387,32.5,81.5,80.75,87,7.98096253287925,0.472583706273074
31.25,329.125,-764.1875,755.999999999999,-267.1875,31.25,80.75,82.25,85,7.98081001971742,0.452952721012076
31.25,349,-866.937499999999,907.874999999998,-334.687499999999,31.25,80.75,81.5,86.5,7.98073839603658,0.454360598259045
33.75,336,-832.874999999999,870.749999999999,-320.625,33.75,81.5,82.25,87,7.98056915959386,0.487699675181322
31.25,359.5,-900.874999999999,938.249999999999,-343.125,31.25,81.5,80.75,85,7.98023178078064,0.455112851189525
